                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.78053,                0.58962,                 1.0078,                0.81435,                 0.7319,                0.79123,                0.51296,                  1.269,                0.87244,                 1.2893,             0.00066506,             0.00066506,             0.00066506
                     56,                0.77258,                 0.5918,                0.99388,                0.83739,                0.73987,                0.79621,                0.51107,                 1.2281,                0.83929,                 1.2801,             0.00065091,             0.00065091,             0.00065091
                     57,                0.79615,                0.59279,                 0.9927,                0.83123,                0.75883,                0.80578,                  0.516,                 1.2473,                0.82633,                 1.2789,             0.00063676,             0.00063676,             0.00063676
                     58,                0.78303,                0.58627,                0.99385,                0.81443,                0.72449,                0.76535,                 0.5011,                 1.2367,                0.88304,                  1.275,             0.00062262,             0.00062262,             0.00062262
                     59,                0.75875,                0.58781,                0.99175,                0.80774,                 0.7629,                0.77966,                0.50392,                  1.235,                0.83756,                 1.2772,             0.00060847,             0.00060847,             0.00060847
                     60,                0.75585,                 0.5695,                0.98887,                 0.8403,                0.72464,                0.79877,                 0.5118,                 1.2621,                0.84438,                 1.2888,             0.00059432,             0.00059432,             0.00059432
                     61,                0.74683,                0.55642,                0.98572,                 0.7799,                0.75448,                 0.7867,                0.52397,                 1.1926,                0.85043,                 1.2302,             0.00058017,             0.00058017,             0.00058017
                     62,                0.75531,                0.56742,                0.98175,                0.83333,                0.71812,                0.79114,                0.52348,                 1.1806,                0.84929,                 1.2371,             0.00056603,             0.00056603,             0.00056603
                     63,                0.72656,                0.55109,                0.98592,                0.82451,                0.71404,                0.78275,                0.51925,                 1.1952,                0.83115,                 1.2889,             0.00055188,             0.00055188,             0.00055188
                     64,                0.75523,                0.57755,                0.99101,                0.76638,                0.76655,                0.78861,                0.52254,                 1.1796,                0.83279,                 1.2526,             0.00053773,             0.00053773,             0.00053773
                     65,                 0.7705,                0.57719,                0.96863,                0.82976,                0.70973,                0.79128,                 0.5157,                 1.2401,                0.86107,                 1.3184,             0.00052359,             0.00052359,             0.00052359
                     66,                0.72684,                0.55767,                 0.9741,                0.79269,                0.75962,                0.79521,                0.51754,                 1.2493,                 0.8441,                 1.3109,             0.00050944,             0.00050944,             0.00050944
                     67,                0.72765,                0.55884,                 0.9733,                0.85351,                 0.7248,                0.81041,                0.53099,                 1.2739,                0.86937,                 1.3116,             0.00049529,             0.00049529,             0.00049529
                     68,                0.69496,                0.54139,                 0.9793,                0.80059,                0.75164,                0.79842,                0.52638,                  1.227,                0.86541,                 1.3064,             0.00048114,             0.00048114,             0.00048114
                     69,                0.71432,                0.53852,                0.97504,                0.81784,                0.69945,                0.79255,                0.51004,                 1.2915,                0.86717,                 1.3366,               0.000467,               0.000467,               0.000467
